Категория;Уровень;Узел;Позиция;Продавец;Исключён
Стулья, скамьи, табуреты, пуфики;Подкатегория;Складной стул;1;Самсон;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Складной стул;2;Компания-производитель Etcona;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Детский стул;1;«ДВИЖЕНИЕ - ЖИЗНЬ»;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Детский стул;2;Растущий Друг Кузя;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Табурет-стремянка;1;«ДВИЖЕНИЕ - ЖИЗНЬ»;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Табурет-стремянка;2;Roku;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Табурет;1;ELITE-MARKET;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Табурет;2;CEDRO;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Сундук;1;Твердыня;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Сундук;2;Торвис;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Кресло детское;1;XedaR;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Кресло детское;2;Кипрей;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Подставка под ноги;1;ABCD STORE;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Подставка под ноги;2;ForErgo Официальный магазин;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Запчасти для стула;1;Top Find;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Запчасти для стула;2;Детитекс;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Стул для музыканта;1;БИГТВ77;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Стул для музыканта;2;Музторг;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Стул откидной;1;Glider;
Стулья, скамьи, табуреты, пуфики;Подкатегория;Стул откидной;2;АзбукаДекор;
Шкафы;Подкатегория;Шкаф распашной;1;ООО «УЮТНАЯ ЛОГИКА»;
Шкафы;Подкатегория;Шкаф распашной;2;НОНТОН.РФ;
Шкафы;Подкатегория;Шкаф-купе;1;НОНТОН.РФ;
Шкафы;Подкатегория;Шкаф-купе;2;Мебельная компания Е1;
Шкафы;Подкатегория;Шкаф-витрина;1;ГУД ЛАКК;
Шкафы;Подкатегория;Шкаф-витрина;2;Dipriz (белорусская фабрика);
Шкафы;Подкатегория;Гардеробная система;1;Best Mebel;
Шкафы;Подкатегория;Гардеробная система;2;A'Belle;
Шкафы;Подкатегория;Буфет;1;Эльдизайн;
Шкафы;Подкатегория;Буфет;2;Нарус;
Шкафы;Подкатегория;Шкаф книжный;1;Best Mebel;
Шкафы;Подкатегория;Шкаф книжный;2;СИВЕР;
Шкафы;Подкатегория;Шкаф-пенал;1;CUBE;
Шкафы;Подкатегория;Шкаф-пенал;2;NOVATOR;
Шкафы;Подкатегория;Вешалка настенная;1;ООО «ЗМИ»;
Шкафы;Подкатегория;Вешалка настенная;2;Home and Garden;
Шкафы;Подкатегория;Шкаф складной;1;ООО «Дельта Дом»;
Шкафы;Подкатегория;Шкаф складной;2;TDhome;
Шкафы;Подкатегория;Антресоль мебельная;1;Best Mebel;
Шкафы;Подкатегория;Антресоль мебельная;2;LAERA;
Шкафы;Подкатегория;Шкаф навесной;1;ВСК-мебель;
Шкафы;Подкатегория;Шкаф навесной;2;MANNYT;
Шкафы;Подкатегория;Барная стойка;1;БЕЛОРУССКИЙ ДОМ;
Шкафы;Подкатегория;Барная стойка;2;Мебель для Магазинов;
Шкафы;Подкатегория;Корпус шкафа;1;WOOD&STEEL;
Шкафы;Подкатегория;Корпус шкафа;2;LAERA;
